PU_day,avg(total_amount)
2018-03-15,16.779852957193302
2018-03-16,16.390870785000345
2018-03-17,15.453529749597303
2018-03-18,16.764469112616137
2018-03-19,16.61337533941357
2018-03-20,16.238054002044123
2018-03-21,12.72386750593387
2018-03-22,16.475232232791914
2018-03-23,17.10209036943027
2018-03-24,15.892180264273861
2018-03-25,16.16330329289417
2018-03-26,16.188930826148734
2018-03-27,17.059520958083308
2018-03-28,16.705616086877985
2018-03-29,16.70824790466881
2018-03-30,15.574051713472219
2018-03-31,14.780670171702472
2018-04-01,15.561454629772767
2018-04-02,15.98690600615623
2018-04-03,15.998581698549073
2018-04-04,15.930338488993655
2018-04-05,16.140400766584683
2018-04-06,15.926789905433571
2018-04-07,14.865478037682145
2018-04-08,16.34122969224589
2018-04-09,16.28533588744229
2018-04-10,16.070071183111537
2018-04-11,16.558298191899937
2018-04-12,16.96618713650241
2018-04-13,16.69998599596561
2018-04-14,15.178017269118161
2018-04-15,15.38708648246735
2018-04-16,16.47162804515669
2018-04-17,16.383445914576356
2018-04-18,17.01438348252845
2018-04-19,16.6887740768317
2018-04-20,16.683712376368646
2018-04-21,15.493434162672827
2018-04-22,16.630997662770483
2018-04-23,16.835814547836762
2018-04-24,16.531010747493152
2018-04-25,16.524007174988895
2018-04-26,17.17917549336484
2018-04-27,17.03900937898752
2018-04-28,15.428686211264882
2018-04-29,16.2495428571421
2018-04-30,16.925166311031912
2018-05-01,16.46285065168037
2018-05-02,16.768417381361022
2018-05-03,17.043785164835157
2018-05-04,17.24567697937449
2018-05-05,15.396128185069712
2018-05-06,16.603580780309482
2018-05-07,16.57529426965623
2018-05-08,16.46582920865918
2018-05-09,16.935389749840546
2018-05-10,17.138249972088875
2018-05-11,17.33977310301585
2018-05-12,15.106054270209016
2018-05-13,15.982355555556342
2018-05-14,17.07808041827502
2018-05-15,17.24613743651058
2018-05-16,18.19919048443889
2018-05-17,17.70632595277188
2018-05-18,17.196858767138572
2018-05-19,15.75508007013486
2018-05-20,16.584313739035174
2018-05-21,17.023663073485483
2018-05-22,17.100852130326274
2018-05-23,17.412468644845784
2018-05-24,17.432958636309614
2018-05-25,16.536941408822326
2018-05-26,14.941021459228446
2018-05-27,15.320621039291096
2018-05-28,17.121127316925737
2018-05-29,17.015706439018455
2018-05-30,17.035971775192227
2018-05-31,17.149746512318497
2018-06-01,16.673622572488423
2018-06-02,15.357752110426345
2018-06-03,17.00112353672076
2018-06-04,16.926987951806947
2018-06-05,16.519179275831252
2018-06-06,16.6038790820825
2018-06-07,17.155115926326456
2018-06-08,16.88426971326109
2018-06-09,15.57042666038043
2018-06-10,17.066415319747072
2018-06-11,16.50897670394833
2018-06-12,16.753750294325016
2018-06-13,16.769101960783782
2018-06-14,17.22902382271399
2018-06-15,16.820056690033116
2018-06-16,15.304456852791963
2018-06-17,16.496623667975392
2018-06-18,16.691766810610456
2018-06-19,16.86431875402493
2018-06-20,17.18158619120688
2018-06-21,17.878421201014156
2018-06-22,16.754290823739158
2018-06-23,15.496355169994303
2018-06-24,17.132955200787666
2018-06-25,17.237846663204078
2018-06-26,16.45215787869522
2018-06-27,17.034653099524455
2018-06-28,16.97847531824158
2018-06-29,17.778190523258836
2018-06-30,15.268069703376327
2018-07-01,14.624
2018-07-04,11.13
2018-07-09,7.88
2018-07-22,7.8
2018-07-26,22.49
2018-07-27,6.96
2018-07-30,7.55
2018-11-05,11.16
2018-11-30,6.8
2037-11-17,18
2084-11-04,4.8
